Timestamp,Status,Eye_Aspect_Ratio,Mouth_Aspect_Ratio,Blink_Count,Yawn_Count
2025-02-06 15:43:06,Active,0.265,0.508,0,0
2025-02-06 15:43:06,Active,0.270,0.449,0,0
2025-02-06 15:43:06,Active,0.257,0.497,0,0
2025-02-06 15:43:06,Active,0.241,0.497,0,0
2025-02-06 15:43:06,Active,0.281,0.534,0,0
2025-02-06 15:43:06,Active,0.260,0.441,0,0
2025-02-06 15:43:06,Active,0.247,0.474,0,0
2025-02-06 15:43:06,Active,0.251,0.503,0,0
2025-02-06 15:43:06,Active,0.312,0.503,0,0
2025-02-06 15:43:06,Active,0.250,0.472,0,0
2025-02-06 15:43:06,Active,0.296,0.514,0,0
2025-02-06 15:43:06,Active,0.259,0.462,0,0
2025-02-06 15:43:06,Active,0.243,0.488,0,0
2025-02-06 15:43:06,Active,0.237,0.513,0,0
2025-02-06 15:43:06,Active,0.262,0.466,0,0
2025-02-06 15:43:06,Active,0.278,0.475,0,0
2025-02-06 15:43:06,Active,0.282,0.515,0,0
2025-02-06 15:43:06,Active,0.235,0.474,0,0
2025-02-06 15:43:06,Active,0.242,0.521,0,0
2025-02-06 15:43:06,Mild Yawn,0.282,0.447,0,1
2025-02-06 15:43:06,Mild Yawn,0.261,0.503,0,1
2025-02-06 15:43:06,Mild Yawn,0.305,0.438,0,1
2025-02-06 15:43:06,Mild Yawn,0.248,0.477,0,1
2025-02-06 15:43:06,Mild Yawn,0.321,0.456,0,1
2025-02-06 15:43:06,Mild Yawn,0.270,0.509,0,1
2025-02-06 15:43:06,Mild Yawn,0.290,0.472,0,1
2025-02-06 15:43:06,Mild Yawn,0.228,0.505,0,1
2025-02-06 15:43:06,Mild Yawn,0.308,0.411,0,1
2025-02-06 15:43:06,Mild Yawn,0.242,0.481,0,1
2025-02-06 15:43:06,Mild Yawn,0.275,0.464,0,1
2025-02-06 15:43:06,Mild Yawn,0.251,0.493,0,1
2025-02-06 15:43:06,Mild Yawn,0.334,0.454,0,1
2025-02-06 15:43:06,Mild Yawn,0.305,0.502,0,1
2025-02-06 15:43:06,Mild Yawn,0.300,0.411,0,1
