Timestamp,Status,Eye_Aspect_Ratio,Mouth_Aspect_Ratio,Blink_Count,Yawn_Count
2024-11-27 23:35:02,Active,0.216,0.371,0,0
2024-11-27 23:35:02,Active,0.270,0.385,0,0
2024-11-27 23:35:02,Active,0.296,0.373,0,0
2024-11-27 23:35:02,Active,0.290,0.375,0,0
2024-11-27 23:35:02,Active,0.300,0.381,0,0
2024-11-27 23:35:02,Active,0.316,0.370,0,0
2024-11-27 23:35:02,Active,0.313,0.372,0,0
2024-11-27 23:35:02,Active,0.316,0.365,0,0
2024-11-27 23:35:02,Active,0.312,0.372,0,0
2024-11-27 23:35:02,Active,0.326,0.381,0,0
2024-11-27 23:35:03,Active,0.325,0.366,0,0
2024-11-27 23:35:03,Active,0.342,0.356,0,0
2024-11-27 23:35:03,Active,0.331,0.352,0,0
2024-11-27 23:35:03,Active,0.342,0.393,0,0
2024-11-27 23:35:03,Active,0.323,0.374,0,0
2024-11-27 23:35:03,Active,0.331,0.361,0,0
2024-11-27 23:35:03,Active,0.346,0.374,0,0
2024-11-27 23:35:03,Active,0.329,0.335,0,0
2024-11-27 23:35:03,Active,0.356,0.404,0,0
2024-11-27 23:35:03,Active,0.343,0.434,0,0
2024-11-27 23:35:04,Active,0.335,0.474,0,0
2024-11-27 23:35:04,Active,0.349,0.368,0,0
2024-11-27 23:35:04,Active,0.354,0.377,0,0
2024-11-27 23:35:04,Active,0.362,0.391,0,0
2024-11-27 23:35:04,Active,0.398,0.424,0,0
2024-11-27 23:35:04,Active,0.381,0.451,0,0
2024-11-27 23:35:04,Active,0.373,0.348,0,0
2024-11-27 23:35:04,Active,0.374,0.464,0,0
2024-11-27 23:35:04,Active,0.398,0.461,0,0
2024-11-27 23:35:04,Active,0.354,0.479,0,0
2024-11-27 23:35:05,Active,0.348,0.487,0,0
2024-11-27 23:35:05,Active,0.361,0.517,0,0
2024-11-27 23:35:05,Active,0.212,0.508,0,0
2024-11-27 23:35:05,Active,0.118,0.383,0,0
2024-11-27 23:35:05,SLEEPING !!!,0.102,0.420,0,0
2024-11-27 23:35:05,SLEEPING !!!,0.111,0.479,0,0
2024-11-27 23:35:05,Active,0.320,0.468,1,0
2024-11-27 23:35:05,Active,0.356,0.393,1,0
2024-11-27 23:35:05,Active,0.362,0.395,1,0
2024-11-27 23:35:05,Active,0.334,0.368,1,0
2024-11-27 23:35:06,Active,0.191,0.395,1,0
2024-11-27 23:35:06,Active,0.116,0.390,1,0
2024-11-27 23:35:06,SLEEPING !!!,0.244,0.387,1,0
2024-11-27 23:35:06,Active,0.309,0.412,2,0
2024-11-27 23:35:06,Active,0.336,0.383,2,0
2024-11-27 23:35:06,Active,0.344,0.429,2,0
2024-11-27 23:35:06,Active,0.342,0.496,2,0
2024-11-27 23:35:06,Active,0.327,0.349,2,0
2024-11-27 23:35:06,Active,0.314,0.394,2,0
2024-11-27 23:35:06,Active,0.334,0.386,2,0
