Timestamp,Status,Eye_Aspect_Ratio,Mouth_Aspect_Ratio,Blink_Count,Yawn_Count
2024-11-28 12:14:20,Active,0.219,0.531,0,0
2024-11-28 12:14:20,Active,0.284,0.646,0,0
2024-11-28 12:14:21,Active,0.218,0.554,0,0
2024-11-28 12:14:21,Active,0.306,0.665,0,0
2024-11-28 12:14:21,Active,0.217,0.506,0,0
2024-11-28 12:14:21,Active,0.317,0.514,0,0
2024-11-28 12:14:21,Active,0.175,0.523,0,0
2024-11-28 12:14:21,Active,0.317,0.458,0,0
2024-11-28 12:14:21,Active,0.180,0.512,0,0
2024-11-28 12:14:21,Active,0.298,0.458,0,0
2024-11-28 12:14:21,Active,0.211,0.478,0,0
2024-11-28 12:14:21,Active,0.337,0.589,0,0
2024-11-28 12:14:21,Active,0.185,0.483,0,0
2024-11-28 12:14:21,Active,0.350,0.543,0,0
2024-11-28 12:14:21,Active,0.183,0.477,0,0
2024-11-28 12:14:21,Active,0.177,0.467,0,0
2024-11-28 12:14:21,SLEEPING !!!,0.197,0.471,0,0
2024-11-28 12:14:21,SLEEPING !!!,0.234,0.457,0,1
2024-11-28 12:14:21,SLEEPING !!!,0.246,0.452,0,1
2024-11-28 12:14:21,Mild Yawn,0.264,0.459,1,1
2024-11-28 12:14:21,Mild Yawn,0.252,0.446,1,1
2024-11-28 12:14:21,Mild Yawn,0.261,0.451,1,1
2024-11-28 12:14:21,Mild Yawn,0.243,0.509,1,1
2024-11-28 12:14:21,Moderate Yawn !,0.278,0.602,1,1
2024-11-28 12:14:21,Mild Yawn,0.269,0.495,1,1
2024-11-28 12:14:21,Mild Yawn,0.316,0.596,1,1
2024-11-28 12:14:21,Mild Yawn,0.275,0.488,1,1
2024-11-28 12:14:21,Mild Yawn,0.298,0.572,1,1
2024-11-28 12:14:21,Mild Yawn,0.211,0.478,1,1
2024-11-28 12:14:21,Mild Yawn,0.286,0.594,1,1
2024-11-28 12:14:21,Mild Yawn,0.237,0.478,1,1
2024-11-28 12:14:21,Moderate Yawn !,0.263,0.631,1,1
2024-11-28 12:14:21,Mild Yawn,0.235,0.478,1,1
2024-11-28 12:14:21,Mild Yawn,0.301,0.584,1,1
2024-11-28 12:14:21,Mild Yawn,0.236,0.464,1,1
2024-11-28 12:14:21,Moderate Yawn !,0.280,0.608,1,1
2024-11-28 12:14:21,Mild Yawn,0.245,0.477,1,1
2024-11-28 12:14:21,Mild Yawn,0.269,0.566,1,1
2024-11-28 12:14:21,Mild Yawn,0.229,0.470,1,1
2024-11-28 12:14:21,Mild Yawn,0.301,0.537,1,1
2024-11-28 12:14:21,Mild Yawn,0.203,0.455,1,1
2024-11-28 12:14:21,Mild Yawn,0.269,0.547,1,1
2024-11-28 12:14:21,Mild Yawn,0.228,0.460,1,1
2024-11-28 12:14:21,Mild Yawn,0.307,0.514,1,1
2024-11-28 12:14:21,Mild Yawn,0.247,0.469,1,1
2024-11-28 12:14:21,Mild Yawn,0.276,0.552,1,1
2024-11-28 12:14:21,Mild Yawn,0.252,0.486,1,1
