Timestamp,Status,Eye_Aspect_Ratio,Mouth_Aspect_Ratio,Blink_Count,Yawn_Count
2024-11-27 22:24:51,Active,0.233,0.341,0,0
2024-11-27 22:24:51,Active,0.219,0.392,0,0
2024-11-27 22:24:51,SLEEPING !!!,0.226,0.339,0,0
2024-11-27 22:24:51,SLEEPING !!!,0.243,0.336,0,0
2024-11-27 22:24:51,SLEEPING !!!,0.214,0.356,0,0
2024-11-27 22:24:51,SLEEPING !!!,0.221,0.364,0,0
2024-11-27 22:24:51,SLEEPING !!!,0.228,0.342,0,0
2024-11-27 22:24:51,SLEEPING !!!,0.247,0.350,0,0
2024-11-27 22:24:52,SLEEPING !!!,0.222,0.383,0,0
2024-11-27 22:24:52,SLEEPING !!!,0.233,0.360,0,0
2024-11-27 22:24:52,SLEEPING !!!,0.243,0.368,0,0
2024-11-27 22:24:52,SLEEPING !!!,0.216,0.357,0,0
2024-11-27 22:24:52,Active,0.254,0.357,1,0
2024-11-27 22:24:52,Active,0.254,0.361,1,0
2024-11-27 22:24:52,Active,0.294,0.347,1,0
2024-11-27 22:24:52,Active,0.348,0.359,1,0
2024-11-27 22:24:52,Active,0.323,0.412,1,0
2024-11-27 22:24:52,Active,0.342,0.438,1,0
2024-11-27 22:24:53,Active,0.342,0.440,1,0
2024-11-27 22:24:53,Active,0.342,0.456,1,0
2024-11-27 22:24:53,Active,0.340,0.435,1,0
2024-11-27 22:24:53,Active,0.381,0.369,1,0
2024-11-27 22:24:53,Active,0.333,0.406,1,0
2024-11-27 22:24:53,Active,0.389,0.341,1,0
2024-11-27 22:24:53,Active,0.340,0.452,1,0
2024-11-27 22:24:53,Active,0.195,0.403,1,0
2024-11-27 22:24:53,Active,0.185,0.377,1,0
2024-11-27 22:24:53,Active,0.289,0.379,1,0
2024-11-27 22:24:54,Active,0.303,0.392,1,0
2024-11-27 22:24:54,Active,0.324,0.393,1,0
2024-11-27 22:24:54,Active,0.295,0.393,1,0
2024-11-27 22:24:54,Active,0.303,0.454,1,0
2024-11-27 22:24:54,Active,0.325,0.414,1,0
2024-11-27 22:24:54,Active,0.336,0.400,1,0
2024-11-27 22:24:54,Active,0.341,0.417,1,0
2024-11-27 22:24:54,Active,0.322,0.419,1,0
2024-11-27 22:24:54,Active,0.310,0.391,1,0
2024-11-27 22:24:54,Active,0.085,0.455,1,0
2024-11-27 22:24:55,Active,0.076,0.411,1,0
2024-11-27 22:24:55,SLEEPING !!!,0.063,0.433,1,0
2024-11-27 22:24:55,SLEEPING !!!,0.081,0.412,1,0
2024-11-27 22:24:55,SLEEPING !!!,0.152,0.396,1,0
2024-11-27 22:24:55,SLEEPING !!!,0.247,0.439,1,0
2024-11-27 22:24:55,Active,0.295,0.419,2,0
2024-11-27 22:24:55,Active,0.306,0.417,2,0
2024-11-27 22:24:55,Active,0.336,0.398,2,0
2024-11-27 22:24:55,Active,0.327,0.444,2,0
2024-11-27 22:24:55,Active,0.325,0.412,2,0
2024-11-27 22:24:56,Active,0.334,0.391,2,0
2024-11-27 22:24:56,Active,0.334,0.420,2,0
2024-11-27 22:24:56,Active,0.322,0.420,2,0
2024-11-27 22:24:56,Active,0.343,0.364,2,0
2024-11-27 22:24:56,Mild Yawn,0.344,0.407,2,1
2024-11-27 22:24:56,Active,0.342,0.370,2,1
2024-11-27 22:24:56,Active,0.331,0.387,2,1
2024-11-27 22:24:56,Mild Yawn,0.331,0.461,2,2
2024-11-27 22:24:56,Mild Yawn,0.313,0.554,2,2
2024-11-27 22:24:56,Mild Yawn,0.303,0.600,2,2
2024-11-27 22:24:57,Moderate Yawn !,0.327,0.651,2,2
2024-11-27 22:24:57,Mild Yawn,0.317,0.585,2,2
2024-11-27 22:24:57,Moderate Yawn !,0.313,0.623,2,2
2024-11-27 22:24:57,Moderate Yawn !,0.313,0.602,2,2
2024-11-27 22:24:57,Moderate Yawn !,0.322,0.638,2,2
2024-11-27 22:24:57,Mild Yawn,0.306,0.405,2,2
2024-11-27 22:24:57,Mild Yawn,0.286,0.365,2,2
2024-11-27 22:24:57,Mild Yawn,0.246,0.361,2,2
2024-11-27 22:24:57,Mild Yawn,0.279,0.342,2,2
2024-11-27 22:24:57,Mild Yawn,0.282,0.348,2,2
2024-11-27 22:24:58,Mild Yawn,0.187,0.356,2,2
2024-11-27 22:24:58,Mild Yawn,0.180,0.376,2,2
2024-11-27 22:24:58,SLEEPING !!!,0.229,0.364,2,2
2024-11-27 22:24:58,SLEEPING !!!,0.246,0.377,2,2
2024-11-27 22:24:58,Mild Yawn,0.261,0.396,3,2
2024-11-27 22:24:58,Mild Yawn,0.282,0.473,3,2
2024-11-27 22:24:58,Mild Yawn,0.296,0.465,3,2
2024-11-27 22:24:58,Mild Yawn,0.279,0.498,3,2
2024-11-27 22:24:58,Mild Yawn,0.279,0.516,3,2
2024-11-27 22:24:58,Mild Yawn,0.297,0.509,3,2
2024-11-27 22:24:59,Mild Yawn,0.289,0.531,3,2
2024-11-27 22:24:59,Moderate Yawn !,0.286,0.609,3,2
2024-11-27 22:24:59,Mild Yawn,0.293,0.581,3,2
2024-11-27 22:24:59,Moderate Yawn !,0.286,0.654,3,2
2024-11-27 22:24:59,Moderate Yawn !,0.289,0.692,3,2
2024-11-27 22:24:59,Moderate Yawn !,0.296,0.712,3,2
2024-11-27 22:24:59,Moderate Yawn !,0.287,0.680,3,2
2024-11-27 22:24:59,Moderate Yawn !,0.322,0.679,3,2
2024-11-27 22:24:59,Moderate Yawn !,0.308,0.705,3,2
2024-11-27 22:24:59,Moderate Yawn !,0.324,0.661,3,2
2024-11-27 22:25:00,Moderate Yawn !,0.310,0.679,3,2
2024-11-27 22:25:00,Moderate Yawn !,0.318,0.666,3,2
2024-11-27 22:25:00,Moderate Yawn !,0.303,0.657,3,2
2024-11-27 22:25:00,Moderate Yawn !,0.333,0.643,3,2
2024-11-27 22:25:00,Moderate Yawn !,0.336,0.630,3,2
2024-11-27 22:25:00,Moderate Yawn !,0.355,0.623,3,2
2024-11-27 22:25:00,Moderate Yawn !,0.365,0.604,3,2
