Timestamp,Status,Eye_Aspect_Ratio,Mouth_Aspect_Ratio,Blink_Count,Yawn_Count
2024-12-01 21:56:43,Active,0.237,0.353,0,0
2024-12-01 21:56:43,Active,0.213,0.343,0,0
2024-12-01 21:56:43,SLEEPING !!!,0.209,0.340,0,0
2024-12-01 21:56:43,SLEEPING !!!,0.227,0.346,0,0
2024-12-01 21:56:43,Active,0.259,0.340,1,0
2024-12-01 21:56:44,Active,0.278,0.338,1,0
2024-12-01 21:56:44,Active,0.282,0.340,1,0
2024-12-01 21:56:44,Active,0.287,0.332,1,0
2024-12-01 21:56:44,Active,0.291,0.351,1,0
2024-12-01 21:56:44,Active,0.268,0.359,1,0
2024-12-01 21:56:44,Active,0.268,0.368,1,0
2024-12-01 21:56:44,Active,0.268,0.367,1,0
2024-12-01 21:56:44,Active,0.282,0.360,1,0
2024-12-01 21:56:44,Active,0.277,0.354,1,0
2024-12-01 21:56:44,Active,0.303,0.346,1,0
2024-12-01 21:56:45,Active,0.300,0.338,1,0
2024-12-01 21:56:45,Active,0.268,0.335,1,0
2024-12-01 21:56:45,Active,0.295,0.343,1,0
2024-12-01 21:56:45,Active,0.295,0.341,1,0
2024-12-01 21:56:45,Active,0.286,0.351,1,0
2024-12-01 21:56:45,Active,0.296,0.346,1,0
2024-12-01 21:56:45,Active,0.286,0.364,1,0
2024-12-01 21:56:45,Active,0.273,0.337,1,0
2024-12-01 21:56:45,Active,0.296,0.355,1,0
2024-12-01 21:56:45,Active,0.314,0.357,1,0
2024-12-01 21:56:46,Active,0.286,0.346,1,0
2024-12-01 21:56:46,Active,0.193,0.369,1,0
2024-12-01 21:56:46,Active,0.175,0.340,1,0
2024-12-01 21:56:46,SLEEPING !!!,0.246,0.327,1,0
2024-12-01 21:56:46,Active,0.268,0.284,2,0
2024-12-01 21:56:46,Active,0.290,0.312,2,0
2024-12-01 21:56:46,Active,0.277,0.322,2,0
2024-12-01 21:56:46,Active,0.268,0.306,2,0
2024-12-01 21:56:46,Active,0.273,0.317,2,0
2024-12-01 21:56:46,Active,0.272,0.350,2,0
2024-12-01 21:56:47,Active,0.290,0.311,2,0
2024-12-01 21:56:47,Active,0.291,0.308,2,0
2024-12-01 21:56:47,Active,0.290,0.302,2,0
2024-12-01 21:56:47,Active,0.281,0.308,2,0
2024-12-01 21:56:47,Active,0.313,0.296,2,0
2024-12-01 21:56:47,Active,0.305,0.303,2,0
2024-12-01 21:56:47,Active,0.289,0.309,2,0
2024-12-01 21:56:47,Active,0.276,0.316,2,0
2024-12-01 21:56:47,Active,0.307,0.335,2,0
2024-12-01 21:56:47,Active,0.295,0.309,2,0
2024-12-01 21:56:48,Active,0.298,0.320,2,0
2024-12-01 21:56:48,Active,0.281,0.317,2,0
2024-12-01 21:56:48,Active,0.272,0.318,2,0
2024-12-01 21:56:48,Active,0.309,0.313,2,0
2024-12-01 21:56:48,Active,0.281,0.304,2,0
2024-12-01 21:56:48,Active,0.312,0.329,2,0
2024-12-01 21:56:48,Active,0.281,0.325,2,0
2024-12-01 21:56:48,Active,0.281,0.326,2,0
2024-12-01 21:56:48,Active,0.298,0.330,2,0
2024-12-01 21:56:48,Active,0.298,0.318,2,0
2024-12-01 21:56:49,Active,0.191,0.304,2,0
2024-12-01 21:56:49,Active,0.237,0.324,2,0
2024-12-01 21:56:49,SLEEPING !!!,0.241,0.326,2,0
2024-12-01 21:56:49,Active,0.264,0.314,3,0
2024-12-01 21:56:49,Active,0.273,0.320,3,0
2024-12-01 21:56:49,Active,0.286,0.299,3,0
2024-12-01 21:56:49,Active,0.286,0.326,3,0
2024-12-01 21:56:49,Active,0.199,0.321,3,0
2024-12-01 21:56:49,Active,0.152,0.310,3,0
2024-12-01 21:56:49,SLEEPING !!!,0.222,0.326,3,0
2024-12-01 21:56:50,SLEEPING !!!,0.245,0.322,3,0
2024-12-01 21:56:50,SLEEPING !!!,0.204,0.322,3,0
2024-12-01 21:56:50,SLEEPING !!!,0.173,0.337,3,0
2024-12-01 21:56:50,Active,0.250,0.341,4,0
2024-12-01 21:56:50,Active,0.250,0.330,4,0
2024-12-01 21:56:50,Active,0.304,0.315,4,0
2024-12-01 21:56:50,Active,0.296,0.322,4,0
2024-12-01 21:56:50,Active,0.277,0.296,4,0
2024-12-01 21:56:50,Active,0.273,0.320,4,0
2024-12-01 21:56:50,Active,0.268,0.313,4,0
2024-12-01 21:56:51,Active,0.282,0.309,4,0
2024-12-01 21:56:51,Active,0.176,0.340,4,0
2024-12-01 21:56:51,Active,0.140,0.327,4,0
2024-12-01 21:56:51,SLEEPING !!!,0.170,0.317,4,0
2024-12-01 21:56:51,SLEEPING !!!,0.203,0.330,4,0
2024-12-01 21:56:51,SLEEPING !!!,0.231,0.340,4,0
2024-12-01 21:56:51,Active,0.251,0.316,5,0
2024-12-01 21:56:51,Active,0.263,0.318,5,0
2024-12-01 21:56:51,Active,0.287,0.317,5,0
2024-12-01 21:56:51,Active,0.280,0.326,5,0
2024-12-01 21:56:52,Active,0.273,0.325,5,0
2024-12-01 21:56:52,Active,0.290,0.327,5,0
2024-12-01 21:56:52,Active,0.276,0.331,5,0
2024-12-01 21:56:52,Active,0.281,0.313,5,0
2024-12-01 21:56:52,Active,0.299,0.313,5,0
2024-12-01 21:56:52,Active,0.322,0.316,5,0
2024-12-01 21:56:52,Active,0.286,0.326,5,0
2024-12-01 21:56:52,Active,0.268,0.318,5,0
2024-12-01 21:56:52,Active,0.277,0.330,5,0
2024-12-01 21:56:52,Active,0.298,0.331,5,0
2024-12-01 21:56:53,Active,0.319,0.330,5,0
2024-12-01 21:56:53,Active,0.313,0.348,5,0
2024-12-01 21:56:53,Active,0.313,0.330,5,0
2024-12-01 21:56:53,Active,0.325,0.314,5,0
2024-12-01 21:56:53,Active,0.331,0.309,5,0
2024-12-01 21:56:53,Active,0.316,0.313,5,0
2024-12-01 21:56:53,Active,0.313,0.342,5,0
2024-12-01 21:56:53,Active,0.308,0.305,5,0
2024-12-01 21:56:53,Active,0.286,0.333,5,0
2024-12-01 21:56:53,Active,0.261,0.318,5,0
2024-12-01 21:56:54,Active,0.259,0.314,5,0
2024-12-01 21:56:54,Active,0.268,0.331,5,0
2024-12-01 21:56:54,Active,0.268,0.326,5,0
2024-12-01 21:56:54,Active,0.281,0.317,5,0
2024-12-01 21:56:54,Active,0.283,0.325,5,0
2024-12-01 21:56:54,Active,0.165,0.345,5,0
2024-12-01 21:56:54,Active,0.142,0.326,5,0
2024-12-01 21:56:54,SLEEPING !!!,0.165,0.319,5,0
2024-12-01 21:56:54,SLEEPING !!!,0.152,0.284,5,0
2024-12-01 21:56:54,SLEEPING !!!,0.154,0.310,5,0
2024-12-01 21:56:55,SLEEPING !!!,0.139,0.287,5,0
2024-12-01 21:56:55,SLEEPING !!!,0.164,0.299,5,0
2024-12-01 21:56:55,SLEEPING !!!,0.154,0.297,5,0
2024-12-01 21:56:55,SLEEPING !!!,0.136,0.314,5,0
2024-12-01 21:56:55,SLEEPING !!!,0.145,0.321,5,0
2024-12-01 21:56:55,SLEEPING !!!,0.162,0.287,5,0
2024-12-01 21:56:55,SLEEPING !!!,0.117,0.307,5,0
2024-12-01 21:56:55,SLEEPING !!!,0.148,0.300,5,0
2024-12-01 21:56:55,SLEEPING !!!,0.134,0.281,5,0
