Timestamp,Status,Eye_Aspect_Ratio,Mouth_Aspect_Ratio,Blink_Count,Yawn_Count
2024-11-28 00:30:03,Active,0.201,0.380,0,0
2024-11-28 00:30:03,Active,0.228,0.376,0,0
2024-11-28 00:30:03,Active,0.262,0.384,0,0
2024-11-28 00:30:03,Active,0.261,0.366,0,0
2024-11-28 00:30:04,Active,0.275,0.383,0,0
2024-11-28 00:30:04,Active,0.304,0.382,0,0
2024-11-28 00:30:04,Active,0.276,0.396,0,0
2024-11-28 00:30:04,Active,0.300,0.384,0,0
2024-11-28 00:30:04,Active,0.286,0.383,0,0
2024-11-28 00:30:04,Active,0.282,0.383,0,0
2024-11-28 00:30:04,Active,0.305,0.388,0,0
2024-11-28 00:30:04,Active,0.272,0.348,0,0
2024-11-28 00:30:04,Active,0.298,0.368,0,0
2024-11-28 00:30:05,Active,0.275,0.381,0,0
2024-11-28 00:30:05,Active,0.283,0.366,0,0
2024-11-28 00:30:05,Active,0.282,0.379,0,0
2024-11-28 00:30:05,Active,0.276,0.377,0,0
2024-11-28 00:30:05,Active,0.282,0.388,0,0
2024-11-28 00:30:05,Active,0.279,0.345,0,0
2024-11-28 00:30:05,Active,0.264,0.373,0,0
2024-11-28 00:30:05,Active,0.293,0.368,0,0
2024-11-28 00:30:05,Active,0.276,0.397,0,0
2024-11-28 00:30:05,Active,0.272,0.378,0,0
2024-11-28 00:30:06,Active,0.279,0.364,0,0
2024-11-28 00:30:06,Active,0.296,0.346,0,0
2024-11-28 00:30:06,Active,0.303,0.332,0,0
2024-11-28 00:30:06,Active,0.302,0.383,0,0
2024-11-28 00:30:06,Active,0.303,0.423,0,0
2024-11-28 00:30:06,Active,0.309,0.406,0,0
2024-11-28 00:30:06,Active,0.300,0.385,0,0
2024-11-28 00:30:06,Active,0.144,0.384,0,0
2024-11-28 00:30:06,Active,0.110,0.415,0,0
2024-11-28 00:30:06,SLEEPING !!!,0.107,0.393,0,0
2024-11-28 00:30:07,SLEEPING !!!,0.138,0.403,0,0
2024-11-28 00:30:07,Active,0.269,0.377,1,0
2024-11-28 00:30:07,Active,0.324,0.358,1,0
2024-11-28 00:30:07,Active,0.310,0.383,1,0
2024-11-28 00:30:07,Active,0.320,0.378,1,0
2024-11-28 00:30:07,Active,0.322,0.375,1,0
2024-11-28 00:30:07,Active,0.327,0.367,1,0
2024-11-28 00:30:07,Active,0.195,0.389,1,0
2024-11-28 00:30:07,Active,0.102,0.384,1,0
2024-11-28 00:30:07,SLEEPING !!!,0.118,0.371,1,0
2024-11-28 00:30:08,SLEEPING !!!,0.104,0.403,1,0
2024-11-28 00:30:08,SLEEPING !!!,0.122,0.347,1,0
2024-11-28 00:30:08,SLEEPING !!!,0.213,0.369,1,0
2024-11-28 00:30:08,Active,0.300,0.372,2,0
2024-11-28 00:30:08,Active,0.306,0.379,2,0
2024-11-28 00:30:08,Active,0.308,0.362,2,0
2024-11-28 00:30:08,Active,0.319,0.362,2,0
2024-11-28 00:30:08,Active,0.306,0.401,2,0
2024-11-28 00:30:08,Active,0.243,0.410,2,0
2024-11-28 00:30:08,Active,0.160,0.445,2,0
2024-11-28 00:30:09,Active,0.265,0.530,2,0
2024-11-28 00:30:09,Active,0.297,0.568,2,0
2024-11-28 00:30:09,Active,0.268,0.590,2,0
2024-11-28 00:30:09,Active,0.272,0.602,2,0
2024-11-28 00:30:09,Active,0.315,0.609,2,0
2024-11-28 00:30:09,Active,0.296,0.632,2,0
2024-11-28 00:30:09,Active,0.228,0.641,2,0
2024-11-28 00:30:09,Active,0.194,0.669,2,0
2024-11-28 00:30:09,Active,0.251,0.636,2,0
2024-11-28 00:30:09,Moderate Yawn !,0.283,0.645,2,1
2024-11-28 00:30:10,Moderate Yawn !,0.308,0.650,2,1
2024-11-28 00:30:10,Moderate Yawn !,0.314,0.653,2,1
2024-11-28 00:30:10,Moderate Yawn !,0.310,0.682,2,1
2024-11-28 00:30:10,Moderate Yawn !,0.314,0.660,2,1
2024-11-28 00:30:10,Moderate Yawn !,0.298,0.669,2,1
2024-11-28 00:30:10,Moderate Yawn !,0.284,0.689,2,1
2024-11-28 00:30:10,Moderate Yawn !,0.150,0.653,2,1
2024-11-28 00:30:10,Mild Yawn,0.195,0.514,2,1
2024-11-28 00:30:10,SLEEPING !!!,0.229,0.451,2,1
2024-11-28 00:30:10,Mild Yawn,0.280,0.452,3,1
2024-11-28 00:30:11,Mild Yawn,0.279,0.432,3,1
2024-11-28 00:30:11,Mild Yawn,0.286,0.390,3,1
2024-11-28 00:30:11,Mild Yawn,0.282,0.359,3,1
2024-11-28 00:30:11,Mild Yawn,0.296,0.381,3,1
2024-11-28 00:30:11,Mild Yawn,0.150,0.369,3,1
2024-11-28 00:30:11,Mild Yawn,0.199,0.344,3,1
2024-11-28 00:30:11,SLEEPING !!!,0.233,0.340,3,1
2024-11-28 00:30:11,Mild Yawn,0.253,0.334,4,1
2024-11-28 00:30:11,Mild Yawn,0.265,0.351,4,1
2024-11-28 00:30:11,Mild Yawn,0.271,0.337,4,1
2024-11-28 00:30:12,Mild Yawn,0.282,0.338,4,1
2024-11-28 00:30:12,Mild Yawn,0.268,0.351,4,1
2024-11-28 00:30:12,Mild Yawn,0.263,0.344,4,1
2024-11-28 00:30:12,Mild Yawn,0.271,0.363,4,1
2024-11-28 00:30:12,Mild Yawn,0.247,0.352,4,1
