Timestamp,Status,Eye_Aspect_Ratio,Mouth_Aspect_Ratio,Blink_Count,Yawn_Count
2024-11-27 15:30:34,Active,0.201,0.407,0,0
2024-11-27 15:30:34,Active,0.314,0.434,0,0
2024-11-27 15:30:34,Active,0.199,0.354,0,0
2024-11-27 15:30:34,Active,0.223,0.267,0,0
2024-11-27 15:30:35,SLEEPING !!!,0.180,0.314,0,0
2024-11-27 15:30:35,SLEEPING !!!,0.199,0.288,0,0
2024-11-27 15:30:35,SLEEPING !!!,0.186,0.315,0,0
2024-11-27 15:30:35,SLEEPING !!!,0.235,0.276,0,0
2024-11-27 15:30:35,SLEEPING !!!,0.209,0.338,0,0
2024-11-27 15:30:35,SLEEPING !!!,0.235,0.373,0,0
2024-11-27 15:30:35,SLEEPING !!!,0.185,0.386,0,0
2024-11-27 15:30:35,SLEEPING !!!,0.192,0.384,0,0
2024-11-27 15:30:35,SLEEPING !!!,0.185,0.379,0,0
2024-11-27 15:30:35,SLEEPING !!!,0.213,0.399,0,0
2024-11-27 15:30:35,SLEEPING !!!,0.213,0.413,0,0
2024-11-27 15:30:35,SLEEPING !!!,0.235,0.391,0,0
2024-11-27 15:30:35,SLEEPING !!!,0.236,0.394,0,0
2024-11-27 15:30:35,SLEEPING !!!,0.221,0.407,0,0
2024-11-27 15:30:35,Active,0.292,0.188,1,0
2024-11-27 15:30:35,Active,0.264,0.210,1,0
2024-11-27 15:30:35,Active,0.271,0.417,1,0
2024-11-27 15:30:35,Active,0.281,0.391,1,0
2024-11-27 15:30:35,Active,0.422,0.841,1,0
2024-11-27 15:30:35,Active,0.320,0.404,1,0
2024-11-27 15:30:35,Active,0.329,0.409,1,0
2024-11-27 15:30:35,Active,0.396,0.765,1,0
2024-11-27 15:30:35,Active,0.331,0.409,1,0
2024-11-27 15:30:35,Active,0.392,0.676,1,0
2024-11-27 15:30:35,Active,0.357,0.422,1,0
2024-11-27 15:30:35,Active,0.421,0.421,1,0
2024-11-27 15:30:35,Active,0.364,0.414,1,0
2024-11-27 15:30:35,Active,0.336,0.608,1,0
2024-11-27 15:30:35,Active,0.366,0.409,1,0
2024-11-27 15:30:35,Active,0.397,0.654,1,0
2024-11-27 15:30:35,Active,0.367,0.404,1,0
2024-11-27 15:30:35,Active,0.355,0.636,1,0
2024-11-27 15:30:35,Active,0.368,0.403,1,0
2024-11-27 15:30:35,Active,0.420,0.401,1,0
2024-11-27 15:30:35,Active,0.328,0.458,1,0
2024-11-27 15:30:35,Active,0.376,0.403,1,0
2024-11-27 15:30:35,Active,0.460,0.439,1,0
2024-11-27 15:30:35,Active,0.378,0.396,1,0
2024-11-27 15:30:35,Active,0.383,0.437,1,0
2024-11-27 15:30:35,Active,0.274,0.479,1,0
2024-11-27 15:30:35,Active,0.374,0.405,1,0
2024-11-27 15:30:35,Active,0.392,0.616,1,0
2024-11-27 15:30:35,Active,0.378,0.410,1,0
2024-11-27 15:30:35,Active,0.447,0.664,1,0
2024-11-27 15:30:35,Active,0.396,0.405,1,0
2024-11-27 15:30:35,Active,0.339,0.574,1,0
2024-11-27 15:30:35,Active,0.375,0.398,1,0
2024-11-27 15:30:35,Active,0.377,0.663,1,0
2024-11-27 15:30:35,Active,0.387,0.404,1,0
2024-11-27 15:30:35,Active,0.403,0.401,1,0
2024-11-27 15:30:36,Active,0.399,0.410,1,0
2024-11-27 15:30:36,Active,0.424,0.726,1,0
2024-11-27 15:30:36,Active,0.387,0.404,1,0
2024-11-27 15:30:36,Active,0.296,0.478,1,0
2024-11-27 15:30:36,Active,0.351,0.421,1,0
2024-11-27 15:30:36,Active,0.408,0.425,1,0
2024-11-27 15:30:36,Active,0.417,0.404,1,0
2024-11-27 15:30:36,Active,0.419,0.412,1,0
2024-11-27 15:30:36,Active,0.274,0.445,1,0
2024-11-27 15:30:36,Active,0.404,0.418,1,0
2024-11-27 15:30:36,Active,0.392,0.433,1,0
2024-11-27 15:30:36,Active,0.361,0.436,1,0
2024-11-27 15:30:36,Active,0.398,0.426,1,0
2024-11-27 15:30:36,Active,0.277,0.396,1,0
2024-11-27 15:30:36,Active,0.415,0.426,1,0
